sentence_idx,context,target_entity,salience_probability,competitor_pressure,continuations
3,"North Korea puts military in ' quasi - state of war ' Friday, August 21, 2015 According to Yonhap news agency, quoting North Korea 's main news agency Korean Central News Agency ( KCNA ), the country 's military has been placed on high alert and has been told to prepare a "" quasi - state of war "".",North Korea,0.6,6.2,"The army was put on alert because of threats of war from the United States, and North Korea said it has a right to protect itself from "" war -provocative military threats "".<>KCNA also claimed the North 's leadership has issued directives to make preparations "" for a large-scale war campaign "" to protect the country 's sovereignty .<>The news report comes after the North Korean government last month issued a special decree, instructing that the country 's security apparatus would be put on alert  and urged to take all necessary steps for protecting the country 's national interests<>"" We have prepared the armed forces for a possible war , "" KCNA quoted military spokesman Kim Ye on Friday.<>This is the first time the army has been placed under a "" quasi - state of war "" status.<>North Korea has recently been sending out a lot of propaganda saying that the regime is preparing for war against the South, US and South Korea.<>The alert comes after the US President, Barack Obama, said that the US military will deploy 30,000 troops to the South Korea for joint exercises with the South .<>The announcement came after a series of provocations from North Korea 's military over the summer including a failed nuclear test and a barrage of long range missiles.<>KCNA said a state of war had been declared in North Korea "" in the course of the US nuclear war preparations and provocations and military action "".<>KCNA said the warning comes in response to the South ' s recent deployment of new defensive systems in the south ' s waters."
4,"Friday, August 21, 2015 According to Yonhap news agency, quoting North Korea 's main news agency Korean Central News Agency ( KCNA ), the country 's military has been placed on high alert and has been told to prepare a "" quasi - state of war "". The report comes after North and South Korea exchanged artillery fire yesterday.",North Korea,0.5,5.4,"The tensions have been exacerbated by reports that a North Korean pilot, who crashed a training flight in China and was believed to be on a mission to Pyongyang , was shot dead .<>"" North Korea on Tuesday called a state of war in place in the Korean Peninsula while South Korea said it was in the process of setting up a tri-service command post, which its army chief visited yesterday.<>Both sides accused the other of launching artillery and rocket fire, which they had denied.<>A spokesman for South Korea 's Defense Ministry has said he is not aware of any military alert.<>The South Korean army also said it was responding by firing back.<>While North Korea claims the latest exchange was a test fire to warn the South, Seoul has condemned the exchange as a deliberate provocation.<>In South Korea , the Korean War ceased when it was ended on July 27, 1953.<><>A statement from South Korea's Defense Ministry said that the two sides had exchanged fire twice in the evening, ""over the Sino-North Korean border near the border village of Punggye-ri"" near Mount Kumgang in North Korea.<>North Korea claims that the South 's military fired 16 artillery shells at North Korean soil, while South Korea says the shell was fired in reprisal for North Korea 's earlier artillery attack on South Korea.  The latest exchange of artillery"
5,"According to Yonhap news agency, quoting North Korea 's main news agency Korean Central News Agency ( KCNA ), the country 's military has been placed on high alert and has been told to prepare a "" quasi - state of war "". The report comes after North and South Korea exchanged artillery fire yesterday. "" War maniacs of the South Korean puppet military made another grave provocation to the DPRK in the central western sector of the front on Thursday afternoon.",North Korea,0.6,5.0,"In response to this provocation, the DPRK People's Army is keeping a strict watchful vigil over the entire Korean Peninsula.<>The provocation was a test-firing of artillery with 1800mm and 2400mm guns.<>Their artillery and mortar troops fired at 1 p.m.<>The provocation made by the South Korean military is a desperate act of war and the most serious act of provocation against the DPRK since the beginning of the DPRK-South Korean war in 1950,"" North Korea 's Central News Agency<>The provocateurs are trying to provoke the national rearmament of the DPRK to provoke the Korean peninsula into a state of war.<>The South Korean puppet army has been placed on high alert and has been told to be prepared for ' quasi - state of war ', "" KCNA said, referring to a report of North Korean state media.<>In response to the provocative act, the KPA [ People's Army ] of the DPRK fired artillery shells from a battery, "" the agency stated, using a different name for North Korea's military.<>"" North Korea 's Central Military Commission (CMC) said in a statement carried by KCNA , which also said it will be ""prepared for a state of war "" if South Korea launches any more missiles into North Korea .<>DPRK is seriously responding in terms of our state of war readiness and is moving a preemptive strike against the provocation with its own weapon systems.<>They launched a large number of bullets and mortar shells from the western and central coastal areas of the South towards the DPRK side."
6,"The report comes after North and South Korea exchanged artillery fire yesterday. "" War maniacs of the South Korean puppet military made another grave provocation to the DPRK in the central western sector of the front on Thursday afternoon. They perpetrated such reckless action as firing 36 shells at KPA civil police posts under the absurd pretext that the KPA fired one shell at the south side.",North Korea,0.0,4.7,"As a result, they caused a 5.6-magnitude tremor and the power outage at the 3rd division civil police post in the county in the east of the DPRK's Sariwon City.<>""
The report goes on to suggest that North Korea's military is taking measures to protect itself from the ""savage"" attacks on the people of the DPRK by the U.S.<>""They showed the contempt of the United Nations.<>"" (N.<>"" The statement said that the North Korean military had repeatedly warned the United States and South Korea of an unprecedented provocation over the recent joint drill, calling for ""a firm response to this act of provocation"".<>The DPRK government strongly condemned the South Korean puppet regime for the provocation.<>The DPRK military did not allow the south Korean puppets to shell any places of its military targets with a provocation.<>This is the same thing as provoking the KPA and threatening to launch a pre-emptive strike.<>"" said Korean Central News Agency.<>"" North Korea's official news agency reported.
The report comes after North and South Korea exchanged artillery fire yesterday."
7,""" War maniacs of the South Korean puppet military made another grave provocation to the DPRK in the central western sector of the front on Thursday afternoon. They perpetrated such reckless action as firing 36 shells at KPA civil police posts under the absurd pretext that the KPA fired one shell at the south side. Six shells of them hit the area near KPA civil police posts 542 and 543 and other 15 shells fell near KPA civil police posts 250 and 251 "", said KCNA.",North Korea,0.0,5.4,""" After firing them, they left to the north through two lanes with the aid of the enemy.<>It continued, ""The military provocateurs also fired 30 shells at the DPRK side of the front on Thursday morning with the aim of attacking the KPA army.<><>The report cited South Korea's military as saying that the shells that crossed the Demilitarized Zone were aimed at KPA posts in the Ssanggang area.
The DPRK has always demanded an immediate investigation into the incident.<>The DPRK made a reply yesterday by dispatching shells, which had hit the south side of the front and the DPRK's artillery had fired at the enemy.<>The KPA forces strongly rejected the claim as malicious and provocative attack and immediately destroyed the shelling areas.<>The DPRK military said the shells came from the military side of the demilitarized zone.<>"" South Korean puppet military forces committed such grave provocation and it violated the 38th parallel military demarcation line and endangered the lives of 40,000 KPA soldiers and officers.<><>The shells hit the area near KPA civil police posts 542 and 543 on the south side of the border and also near KPA civil police posts 250 and 251 on the KPA side."
8,"They perpetrated such reckless action as firing 36 shells at KPA civil police posts under the absurd pretext that the KPA fired one shell at the south side. Six shells of them hit the area near KPA civil police posts 542 and 543 and other 15 shells fell near KPA civil police posts 250 and 251 "", said KCNA. "" Foolhardy provocation deserves harsh punishment "", it added ; and, later, "" Kim Jong - un issued an order of the supreme commander of the Korean People 's Army [ KPA ] that the front - line large combined units of the KPA should enter a wartime state to be fully battle ready to launch surprise operations "".",North Korea,0.0,5.7,"A further 14 shells hit the ground in the area in front of 543.
On June 5th, the KPA launched an artillery strike against 25th Regiment of the 52nd Brigade of the 5th Infantry Division of the<>"" The provocation by the United States and South Korea is aimed at provoking the KPA into launching preemptive attacks and this is an act of a criminal, a heinous act of war and a grave challenge to the dignity of the DPRK<><>"" The KPA should also speed up the advance of its units , including the units of the special forces and commandos "", read the order, as quoted by the official KPA news agency KCNA.<>"" The Korean People 's Army and the armed forces of the Democratic People's Republic of Korea [ DPRK ] have entered the prewar state of readiness with full combat readiness.<>KPA chief Kim Jong - un, who has been visiting Syria in recent days, had said earlier this year that his country was ""considering"" military cooperation with Damascus.<>19, 2010, North Korea 's government announced that the DPRK is in possession of nuclear weapons.<><>""The people of North Korea are outraged at the provocations and aggression "", declared North Korea 's state news agency KCNA.<>In 2008, the U.S."
9,"Six shells of them hit the area near KPA civil police posts 542 and 543 and other 15 shells fell near KPA civil police posts 250 and 251 "", said KCNA. "" Foolhardy provocation deserves harsh punishment "", it added ; and, later, "" Kim Jong - un issued an order of the supreme commander of the Korean People 's Army [ KPA ] that the front - line large combined units of the KPA should enter a wartime state to be fully battle ready to launch surprise operations "". Yesterday, North Korea fired artillery rounds aimed at a loudspeaker in South Korea that broadcasts anti-Pyongyang propaganda into the North.",North Korea,0.6,6.7,"The North Korean army has been preparing its artillery units for war, KPA officials said.<>"" The South Korean military's artillery system can 't hit any part of the North Korean territory "", he said.
South Korean President Moon Jae - in ' s office said that North Korea's artillery fire was "" a provocation "", South Korea's Presidential<>Kim Jong-un, North Korea's supreme commander, instructed all armed forces and agencies to "" carry out all-out preparations to launch an attack "".<>At a time of peace, it should know better than to provoke.
On Sunday, the North Korean army fired hundreds of shells at a South Korean loudspeaker station in the heavily-armed border region, South Korean officials said.<><>The KPA also announced a massive parade through the capital city to celebrate the 75th anniversary of the founding of the country.<>The two countries, however, remain technically at war since their 1950-53 conflict ended in a truce, not a peace treaty.
Kim Jong-un and President Moon Jae-in held their first face-to-face meeting in the Demilitarized<>The UN 's North Korea sanctions committee approved the latest sanctions on Wednesday, extending the ban on North Korean exports, imports, financial services and other activities until the end of August.<>The shells fired on Friday, 25 November, went beyond the 2 km line of contact with South Korea, the Korean Central News Agency said.
Korean Air Lines, the South Korean carrier that lost its plane, said it was investigating what caused<>North Korean leader Kim Jong - un called the South's moves to deploy the THAAD battery "" deliberate and flagrant provocation of the DPRK"" and said the test launch was part of a "" war - game "" that "" only the nuclear-"
10,""" Foolhardy provocation deserves harsh punishment "", it added ; and, later, "" Kim Jong - un issued an order of the supreme commander of the Korean People 's Army [ KPA ] that the front - line large combined units of the KPA should enter a wartime state to be fully battle ready to launch surprise operations "". Yesterday, North Korea fired artillery rounds aimed at a loudspeaker in South Korea that broadcasts anti-Pyongyang propaganda into the North. "" Commanders of the Korean People 's Army were hastily dispatched to the front - line troops to command military operations to destroy psychological warfare tools if the enemy does not stop the propaganda broadcast within 48 hours and prepare against the enemy 's possible counteractions "", added KCNA.",North Korea,0.5,7.3,""" The armed forces are in full battle readiness and capable of repelling any possible actions and counteractions by the enemy "", it said, in a rare admission of failure, after the South Korean president had vowed to counter North Korean provocations.<>In recent years, the South has launched several artillery campaigns against the North in response to its launches of artillery rounds.<>"" The enemy forces committed to the loudspeaker operations against our units on a large scale are also seriously wounding the soldiers of the Korean People 's Army "", it added.<>"" All units and personnel should not take any action without orders from the KPA and make every effort to prepare for war "", the report added.
""The government will take decisive measures against any provocations by the DPRK "", he told reporters after a visit<>On February 13, South Korea's National Security Council said it had asked South Korea 's military to respond firmly to the North 's artillery attack.
On January 23, South Korea 's Defence Ministry said the North 's shelling was<>"" In accordance with the order, I have ordered that all units of the KPA should make preparations and organize for joint offensive operations and take firm and decisive measures to destroy the enemy 's psychological warfare units and tools "", said a text of the order<>Kim told his soldiers to prepare to carry out "" the military operation on the enemy "" by "" striking its enemy with a mighty and overwhelming blow "".<>North Korea's nuclear arsenal "" cannot be compared with that of the enemy 's "".<>9, with 14 more being added in the next four days.<>Pyongyang says it fired 100,000 artillery shells a week ago at a South Korean island called Yeonpyeong in the Yellow Sea that is used as a military target practice range by the South."
11,"Yesterday, North Korea fired artillery rounds aimed at a loudspeaker in South Korea that broadcasts anti-Pyongyang propaganda into the North. "" Commanders of the Korean People 's Army were hastily dispatched to the front - line troops to command military operations to destroy psychological warfare tools if the enemy does not stop the propaganda broadcast within 48 hours and prepare against the enemy 's possible counteractions "", added KCNA. No injuries or deaths were reported in the attacks from either side, but South Korea evacuated about 80 people in the town of Yeoncheon after at least one shell landed near the area.",North Korea,0.4,3.9,"The first round was fired around 2 p.m.<>The first shots were fired 2:30 pm (1600 UTC) local time and continued for approximately 10 to 15 minutes, according to the South Korean Defense Ministry.<><>A US military spokesman said that the incident "" is an act of aggression against South Korea "", adding that the situation remained calm.<>"" If the enemy wants to make mischief, we will respond with the most merciless response "", said the North's Rodong Sinmun newspaper in its Tuesday editorial.<>As tensions continue to rise between North and South Korea, Pyongyang is not taking any chances with its long-standing, and deadly, strategy of attacking its neighbors with propaganda.
In 2016, North Korea attacked South Korean schools and government buildings with propaganda broadcasts<>"" The North Koreans are trying to provoke us as they did in 2010 ,"" said a senior U.S.<>The Korean Peninsula has been under a state of high alert since North Korea's nuclear test on February 12.
North Korea's threats of nuclear strikes have made the peninsula a dangerous place to visit.<><>"
12,""" Commanders of the Korean People 's Army were hastily dispatched to the front - line troops to command military operations to destroy psychological warfare tools if the enemy does not stop the propaganda broadcast within 48 hours and prepare against the enemy 's possible counteractions "", added KCNA. No injuries or deaths were reported in the attacks from either side, but South Korea evacuated about 80 people in the town of Yeoncheon after at least one shell landed near the area. The South retaliated by firing dozens of rounds of artillery into the north.",North Korea,0.0,6.4,"North Korea said in a statement that it was ""responding to the nuclear threat of the U.S."" while accusing Washington of starting the war.<><>On Monday, the Yonhap news agency reported that North Korea fired about 60 shells into South Korea and had targeted a gas complex about 30 kilometers (18 miles) from the border, but it was not clear if any gas complex had been<>North Korea on Wednesday announced the first retaliatory artillery shelling in over a year, firing artillery shells northward into the South's Yeoncheon region, a defense ministry official said.<>The military said both sides had withdrawn their troops back to the line of contact.<>President Kim Young Sam was on a visit to the South this week.<>South Korea 's military said the attack was in retaliation for Sunday 's artillery barrage by North Korea , which officials said was aimed at Seoul 's residents.<>North Korea later accused the South of using a ""kinetic weapon"" to carry out the attack, which it said was a violation of the Korean War armistice agreement and the South's claim that there was no military operation by the North.<>The exchanges of fire lasted several hours and involved both the south and the north.<>Pyongyang had issued a warning that it would react if Seoul persisted in broadcasting propaganda in the north."
